time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0	0	0	0	0	lidar	0	-0.033	3.0016	0	2.75	0	1
1477010443400000	0	0	0	0	0	radar	6.95323e-310	-0.0688389	3.18596	-0.022	3.0991	-0.1097	0.994
1477010443800000	0	0	0	0	0	lidar	0	0.0768	3.3357	-0.0938	3.4924	-0.2334	0.9724
1477010444200000	0	0	0	0	0	radar	6.95323e-310	-0.329741	4.47186	-0.2143	3.8735	-0.3535	0.9354
1477010444600000	0	0	0	0	0	lidar	0	-0.3734	4.2343	-0.3817	4.2365	-0.4679	0.8838
1477010445000000	0	0	0	0	0	radar	6.95323e-310	-0.709955	4.06507	-0.5932	4.5757	-0.575	0.8181
1477010445400000	0	0	0	0	0	lidar	0	-0.9279	4.8202	-0.8456	4.8857	-0.673	0.7396
1477010445800000	0	0	0	0	0	radar	6.95323e-310	-1.03006	5.05278	-1.1348	5.1616	-0.7604	0.6494
1477010446200000	0	0	0	0	0	lidar	0	-1.4703	5.3894	-1.4564	5.3991	-0.8358	0.549
1477010446600000	0	0	0	0	0	radar	6.95323e-310	-1.61459	5.57074	-1.8051	5.5945	-0.898	0.4399
1477010447000000	0	0	0	0	0	lidar	0	-2.3561	5.5926	-2.1756	5.7445	-0.9461	0.3239
1477010447400000	0	0	0	0	0	radar	6.95323e-310	-2.38335	5.95152	-2.562	5.847	-0.9792	0.2028
1477010447800000	0	0	0	0	0	lidar	0	-2.8016	5.8257	-2.9582	5.9002	-0.9969	0.0785
1477010448200000	0	0	0	0	0	radar	6.95323e-310	-3.57457	6.07427	-3.3579	5.9033	-0.9989	-0.0471
1477010448600000	0	0	0	0	0	lidar	0	-3.5739	6.0411	-3.7549	5.8563	-0.9851	-0.1719
1477010449000000	0	0	0	0	0	radar	6.95323e-310	-4.06463	5.83043	-4.1429	5.76	-0.9558	-0.294
1477010449400000	0	0	0	0	0	lidar	0	-4.5402	5.3349	-4.5157	5.6157	-0.9114	-0.4115
1477010449800000	0	0	0	0	0	radar	6.95323e-310	-4.47278	5.76545	-4.8675	5.4259	-0.8526	-0.5225
1477010450200000	0	0	0	0	0	lidar	0	-5.1263	5.0933	-5.1927	5.1935	-0.7804	-0.6252
1477010450600000	0	0	0	0	0	radar	6.95323e-310	-4.62334	4.1084	-5.4863	4.9222	-0.6959	-0.7181
1477010451000000	0	0	0	0	0	lidar	0	-6.1294	4.7343	-5.7435	4.6162	-0.6004	-0.7997
1477010451400000	0	0	0	0	0	radar	6.95323e-310	-6.07347	4.40868	-5.9603	4.2804	-0.4955	-0.8686
1477010451800000	0	0	0	0	0	lidar	0	-5.9281	3.941	-6.1333	3.92	-0.3827	-0.9239
1477010452200000	0	0	0	0	0	radar	6.95323e-310	-6.3881	3.70944	-6.2599	3.5408	-0.2639	-0.9646
1477010452600000	0	0	0	0	0	lidar	0	-6.1422	2.7882	-6.3378	3.1487	-0.1409	-0.99
1477010453000000	0	0	0	0	0	radar	6.95323e-310	-6.21028	2.55126	-6.3661	2.75	-0.0157	-0.9999
1477010453400000	0	0	0	0	0	lidar	0	-6.273	2.3835	-6.3441	2.3509	0.1097	-0.994
1477010453800000	0	0	0	0	0	radar	6.95323e-310	-5.70644	2.3037	-6.2723	1.9576	0.2334	-0.9724
1477010454200000	0	0	0	0	0	lidar	0	-5.8715	1.497	-6.1518	1.5765	0.3535	-0.9355
1477010454600000	0	0	0	0	0	radar	6.95323e-310	-5.9158	1.50484	-5.9844	1.2135	0.4679	-0.8838
1477010455000000	0	0	0	0	0	lidar	0	-6.14	0.7636	-5.7729	0.8743	0.575	-0.8182
1477010455400000	0	0	0	0	0	radar	6.95323e-310	-5.42937	0.534297	-5.5205	0.5643	0.673	-0.7396
1477010455800000	0	0	0	0	0	lidar	0	-5.4119	0.2694	-5.2312	0.2884	0.7604	-0.6495
1477010456200000	0	0	0	0	0	radar	6.95323e-310	-4.48417	0.0156621	-4.9097	0.0509	0.8358	-0.549
1477010456600000	0	0	0	0	0	lidar	0	-4.5237	-0.0838	-4.5609	-0.1444	0.898	-0.44
1477010457000000	0	0	0	0	0	radar	6.95323e-310	-3.67346	-0.125286	-4.1904	-0.2945	0.9461	-0.3239
1477010457400000	0	0	0	0	0	lidar	0	-3.8762	-0.4827	-3.804	-0.397	0.9792	-0.2028
1477010457800000	0	0	0	0	0	radar	6.95323e-310	-3.36003	-0.538423	-3.4079	-0.4502	0.9969	-0.0785
